id,name,artist_ids,artists,aritsts_mean_popularity,artists_followers_combined,release_date,explicit,key,mode,loudness,tempo,time_signature,duration_ms,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,popularity
5SHpGROJ4f1gBqs7uie6nc,ДРУЖБА НАРОДОВ,"['3KtiWEUyKC5lgHedcN6y6C', '2ngiK5FQchV4i7eOyXOXKt', '0Qj6Vqo2bJl4iNkS7sZYmw']","['MAYOT', 'SEEMEE', 'Hood Rich Luka']",42.66666666666666,290314.77,2022-06-24,1,11,1,-6.999,154.001,4,224416,0.616,0.702,0.211,0.0693,0.0,0.177,0.295,25
6PeI5jj1v68whzoidYb5l3,ШВАБРА,"['3KtiWEUyKC5lgHedcN6y6C', '2ngiK5FQchV4i7eOyXOXKt']","['MAYOT', 'SEEMEE']",53.0,289892.59,2022-06-24,1,0,1,-9.072,81.685,5,154154,0.472,0.442,0.319,0.263,0.0,0.324,0.46,22
5R7N2ZhEdtwn3vYF1Kv6Kd,БАБАРА/BABINA,"['3KtiWEUyKC5lgHedcN6y6C', '2ngiK5FQchV4i7eOyXOXKt']","['MAYOT', 'SEEMEE']",53.0,289892.59,2022-06-24,1,1,1,-5.835,125.949,4,110476,0.63,0.526,0.0647,0.151,0.0,0.12,0.18,27
3UQh6sMITGqH3mIOrMDJtB,ПРИРОСТ / NARCOZ,"['3KtiWEUyKC5lgHedcN6y6C', '2ngiK5FQchV4i7eOyXOXKt']","['MAYOT', 'SEEMEE']",53.0,289892.59,2022-06-24,1,1,1,-9.0,64.904,4,88615,0.708,0.509,0.121,0.0376,0.0,0.0987,0.0933,24
11yPRAl9wjT6JRtAKCJKP0,ХОРОШИЙ SMOKING,"['3KtiWEUyKC5lgHedcN6y6C', '2ngiK5FQchV4i7eOyXOXKt']","['MAYOT', 'SEEMEE']",53.0,289892.59,2022-06-24,1,1,0,-7.009,124.931,4,127680,0.792,0.664,0.313,0.43,0.0,0.106,0.419,28
36NA43UYSCGLbGMkjhE2xr,OLD72,"['3KtiWEUyKC5lgHedcN6y6C', '2ngiK5FQchV4i7eOyXOXKt']","['MAYOT', 'SEEMEE']",53.0,289892.59,2022-06-24,1,1,1,-7.546,93.4,4,108952,0.643,0.906,0.315,0.436,1.99e-06,0.145,0.825,24
4KANE85lL9xrMbGEVIVV9G,FACE ID,"['3KtiWEUyKC5lgHedcN6y6C', '2ngiK5FQchV4i7eOyXOXKt', '0ne2rg2JwZmIy7X1aVNq7y']","['MAYOT', 'SEEMEE', '163ONMYNECK']",53.333333333333336,382032.25,2022-06-24,1,8,1,-9.086,131.906,4,141818,0.645,0.488,0.065,0.00489,0.0,0.262,0.37,36
13REonJIxUT0MnCly11iQF,2 ПАКА,"['3KtiWEUyKC5lgHedcN6y6C', '2ngiK5FQchV4i7eOyXOXKt']","['MAYOT', 'SEEMEE']",53.0,289892.59,2022-06-24,1,8,0,-7.563,129.814,4,107077,0.648,0.618,0.303,0.0219,0.000445,0.384,0.33,21
6fmHJAJGK50tKpOeQNmhmU,DRACO,"['3KtiWEUyKC5lgHedcN6y6C', '2ngiK5FQchV4i7eOyXOXKt', '27kGBCjiz5OXojkKX4xQ6R']","['MAYOT', 'SEEMEE', 'BUSHIDO ZHO']",54.0,419852.91,2022-06-24,1,11,1,-4.764,124.107,4,184839,0.733,0.692,0.301,0.15,0.0,0.289,0.313,37
7zXZHEkkdT29CmCIAIaoKo,Абонент (Prod. by manyice x blessque),['3KtiWEUyKC5lgHedcN6y6C'],['MAYOT'],57.0,418157.0,2021-03-26,1,7,1,-7.524,127.969,4,78750,0.674,0.586,0.0548,0.0274,0.0,0.166,0.427,29
3aSgG5KhnoCuVoPOOpmSl6,Калека (Prod. by VisaGangBeatz x Nastyboy24k),['3KtiWEUyKC5lgHedcN6y6C'],['MAYOT'],57.0,418157.0,2021-03-26,1,6,1,-7.299,119.896,5,136000,0.82,0.472,0.164,0.0442,0.0,0.26,0.768,30
2a4pOWf80Ln1WKX8d8CncE,Форсаж (Prod. by Sqweezey x Nest),['3KtiWEUyKC5lgHedcN6y6C'],['MAYOT'],57.0,418157.0,2021-03-26,1,5,1,-7.852,131.063,4,80611,0.693,0.566,0.0574,0.297,2.83e-06,0.183,0.286,25
7mvKQ1CA11aIMGkln1tO0c,Двойники (Prod. by malenkiyyarche x kayyo),['3KtiWEUyKC5lgHedcN6y6C'],['MAYOT'],57.0,418157.0,2021-03-26,1,10,0,-8.095,139.97,4,61714,0.754,0.644,0.145,0.0171,0.0,0.283,0.3,28
196n2P90YID9GI67vRgRM3,Приятного аппетита (Prod. by malenkiyyarche),['3KtiWEUyKC5lgHedcN6y6C'],['MAYOT'],57.0,418157.0,2021-03-26,1,11,0,-11.485,136.21,4,116471,0.632,0.409,0.105,0.0835,0.00749,0.113,0.0476,25
7bgDIedWeXuCxZOq7r8tNb,Лондон (Prod. by DooMee),['3KtiWEUyKC5lgHedcN6y6C'],['MAYOT'],57.0,418157.0,2021-03-26,1,6,1,-8.935,69.98,4,154286,0.592,0.561,0.0668,0.0675,0.0,0.073,0.0657,36
0CLFhSdgSXItBYcFOO03I0,MJ (Prod. by manyice x blessque),['3KtiWEUyKC5lgHedcN6y6C'],['MAYOT'],57.0,418157.0,2021-03-26,1,1,0,-6.976,117.939,4,130169,0.768,0.446,0.0652,0.302,0.0,0.0872,0.323,28
3d67iioYf1Hvt2b7ncDzZv,Киллер (Prod. by malenkiyyarche x kayyo),['3KtiWEUyKC5lgHedcN6y6C'],['MAYOT'],57.0,418157.0,2021-03-26,1,2,1,-8.867,149.815,4,68800,0.603,0.513,0.436,0.0309,1.52e-05,0.304,0.468,40
0fTzWhWqCJSpDz8UHgJ5h3,May Wave$ (Prod. by malenkiyyarche x kayyo),['3KtiWEUyKC5lgHedcN6y6C'],['MAYOT'],57.0,418157.0,2021-03-26,1,0,1,-8.14,129.96,4,90923,0.768,0.63,0.0607,0.112,0.000227,0.206,0.484,37
5m1kiSIm88DNka8HGTNkh9,Шрамы (Prod. by manyice),['3KtiWEUyKC5lgHedcN6y6C'],['MAYOT'],57.0,418157.0,2021-03-26,1,4,0,-7.561,129.939,4,88615,0.739,0.525,0.0923,0.118,6.51e-05,0.364,0.28,26
4Y957mq1tZldFeIwXEYu1e,Dope (Prod. by manyice x blessque),['3KtiWEUyKC5lgHedcN6y6C'],['MAYOT'],57.0,418157.0,2021-03-26,1,7,0,-8.251,131.026,4,102595,0.753,0.523,0.107,0.0803,7.7e-06,0.125,0.166,26
2ZKoklzkkjSXjhvSpNIDU5,В моих мыслях,['3KtiWEUyKC5lgHedcN6y6C'],['MAYOT'],57.0,418157.0,2021-07-09,0,0,1,-9.178,93.23,4,134194,0.672,0.454,0.138,0.31,0.0,0.101,0.0604,53
594PSa9mKtko7vLELy5QFN,Забудешь,['4ywf1iH1ruKEcfpCgfJvyA'],['Artik & Asti'],55.0,962643.0,2019-03-29,0,9,0,-5.645,119.979,4,210000,0.713,0.786,0.116,0.225,0.0,0.556,0.687,41
4DEY52zyUAQq4D5xeYUn4M,Грустный дэнс,"['4ywf1iH1ruKEcfpCgfJvyA', '2XaHngr3ql0L2nrJC8PSwY']","['Artik & Asti', 'Artem Kacher']",51.5,595990.29,2019-03-29,0,7,0,-3.679,117.97,4,217627,0.747,0.762,0.216,0.14,0.0,0.339,0.466,58
0A6LFxKbCps3m3vrs4Np5V,Под гипнозом,['4ywf1iH1ruKEcfpCgfJvyA'],['Artik & Asti'],55.0,962643.0,2019-03-29,0,1,0,-5.07,115.023,4,208696,0.774,0.735,0.149,0.254,4.47e-06,0.256,0.287,53
6Xgfc9Fi9ecCNbZ649Dx6a,По проспектам,['4ywf1iH1ruKEcfpCgfJvyA'],['Artik & Asti'],55.0,962643.0,2019-03-29,0,7,0,-3.926,127.989,4,213750,0.611,0.899,0.222,0.235,0.0,0.168,0.38,37
0c6CDliUB8J4lrKzPZJxIt,Привет,['4ywf1iH1ruKEcfpCgfJvyA'],['Artik & Asti'],55.0,962643.0,2019-03-29,0,0,0,-4.933,128.005,4,204375,0.672,0.876,0.0927,0.038,0.0,0.0735,0.601,39
6w4aonhe1oTC3W0yoGmIsv,Роза,['4ywf1iH1ruKEcfpCgfJvyA'],['Artik & Asti'],55.0,962643.0,2019-03-29,0,8,0,-4.601,85.061,4,206118,0.618,0.704,0.0402,0.0793,1.07e-06,0.117,0.324,29
5tFlD4HM8d3c58PwBcVjyZ,Мне не нужны,['4ywf1iH1ruKEcfpCgfJvyA'],['Artik & Asti'],55.0,962643.0,2019-03-29,0,0,0,-5.721,130.077,4,230769,0.701,0.688,0.0414,0.494,3.22e-06,0.182,0.335,44
09giG9SH45lsjJgTWztrzp,Последний поцелуй,['4ywf1iH1ruKEcfpCgfJvyA'],['Artik & Asti'],55.0,962643.0,2020-02-07,0,2,0,-4.119,107.035,4,192897,0.712,0.741,0.0714,0.112,1.34e-06,0.164,0.51,51
4fAYY2MNqhYlrtGJQlSItW,Все мимо,['4ywf1iH1ruKEcfpCgfJvyA'],['Artik & Asti'],55.0,962643.0,2020-02-07,0,10,0,-4.945,107.948,4,228889,0.734,0.797,0.12,0.347,0.0,0.128,0.554,48
4SeVzSu4SuWKYvOjmEPqfF,Чувства,['4ywf1iH1ruKEcfpCgfJvyA'],['Artik & Asti'],55.0,962643.0,2020-02-07,0,5,0,-4.24,109.991,4,237818,0.707,0.809,0.14,0.295,0.0,0.169,0.594,48
0LYYnnXoORfx9ldA3vBPzg,Девочка танцуй,['4ywf1iH1ruKEcfpCgfJvyA'],['Artik & Asti'],55.0,962643.0,2020-02-07,0,8,0,-4.458,121.984,4,261639,0.681,0.672,0.0789,0.217,0.0,0.134,0.406,55
4BrFBB9yn11MUGGGlX7a07,Обесточено,['4ywf1iH1ruKEcfpCgfJvyA'],['Artik & Asti'],55.0,962643.0,2020-02-07,0,7,0,-4.557,75.016,4,195200,0.619,0.798,0.0356,0.125,2.68e-05,0.097,0.227,28
2uPfnpMuL4poAmSKVx8QSy,Крылья,['4ywf1iH1ruKEcfpCgfJvyA'],['Artik & Asti'],55.0,962643.0,2020-02-07,0,6,0,-4.841,128.006,4,210000,0.577,0.621,0.0293,0.118,0.0,0.111,0.304,37
51QXIBinlVX4ZxLxPW2VmY,Незаменимы,['4ywf1iH1ruKEcfpCgfJvyA'],['Artik & Asti'],55.0,962643.0,2020-02-07,0,7,0,-4.608,112.007,4,207857,0.627,0.742,0.0506,0.433,0.0,0.146,0.33,26
6kZ2FxkEd6Q62eQk36e7xt,Она не я,['4ywf1iH1ruKEcfpCgfJvyA'],['Artik & Asti'],55.0,962643.0,2021-07-22,0,7,0,-4.648,119.96,4,214000,0.69,0.682,0.0535,0.0207,0.0,0.117,0.613,50
7rBH1ffmWDS6QzmkrYapV5,Истеричка,['4ywf1iH1ruKEcfpCgfJvyA'],['Artik & Asti'],55.0,962643.0,2021-07-22,0,8,0,-5.317,117.999,4,221695,0.785,0.747,0.165,0.242,0.0,0.518,0.485,54
08kXtIt13svfTUuMSs62R6,Бла Бла,['4ywf1iH1ruKEcfpCgfJvyA'],['Artik & Asti'],55.0,962643.0,2021-07-22,0,1,0,-4.135,114.993,4,217043,0.747,0.725,0.0535,0.0307,1.62e-06,0.173,0.359,39
